Tipo;Designacion;d;bf;tf;hw;tw=r1;r2;bf/2tf;hw/tw;Ag;Peso;Ix;Sx;rx;Qx;Zx;Iy;Sy;ry;Qy;1.5Sy;Zy;w1;d1;w4;t1;w3;J;Cw;X1;X2
W;33x354;903;409;53.1;756.0;29.5;;3.9;25.6;671.0;526.8;911547.0;20156.0;36.8;11635.0;23270.0;60770.0;2966.0;9.5;2311.0;4449.0;4621.0;;;;;;4787.0;109562634.0;24407;21.7
W;33x318;893;406;48.0;756.0;26.4;;4.2;28.6;603.2;473.2;811651.0;18190.0;36.6;10406.0;20812.0;53694.0;2638.0;9.4;2048.0;3957.0;4097.0;;;;;;3513.0;95867304.0;22063;32.2
W;33x291;885;404;43.9;756.0;24.4;;4.6;31.0;552.3;433.1;736730.0;16551.0;36.6;9423.0;18845.0;48283.0;2393.0;9.4;1852.0;3589.0;3703.0;;;;;;2706.0;85662941.0;20271;44.8
W;33x263;877;401;39.9;756.0;22.1;;5.0;34.2;499.4;391.4;657646.0;15027.0;36.3;8521.0;17043.0;42872.0;2147.0;9.3;1655.0;3220.0;3310.0;;;;;;2019.0;75458578.0;18409;65.2
W;33x241;868;403;35.6;756.0;21.1;;5.7;35.8;457.4;358.6;591049.0;13585.0;35.8;7694.0;15387.0;38793.0;1934.0;9.2;1491.0;2901.0;2982.0;;;;;;1490.0;67133967.0;16754;96.6
W;33x221;862;401;32.4;756.0;19.7;;6.2;38.4;419.4;328.9;532776.0;12405.0;35.8;7005.0;14011.0;34963.0;1737.0;9.1;1344.0;2606.0;2687.0;;;;;;1145.0;60152034.0;15444;135
W;33x201;855;400;29.2;756.0;18.2;;6.9;41.6;381.3;299.1;478666.0;11209.0;35.6;6325.0;12651.0;31176.0;1560.0;9.0;1204.0;2340.0;2409.0;;;;;;853.0;53170102.0;14065;198
W;33x169;859;292;31.0;756.0;17.0;;4.7;44.4;319.4;251.5;386679.0;8996.0;34.8;5154.0;10307.0;12903.0;883.0;6.4;692.0;1325.0;1383.0;;;;;;737.0;22127355.0;14893;171
W;33x152;851;294;26.8;756.0;16.1;;5.5;46.9;288.4;226.2;339645.0;7981.0;34.3;4580.0;9160.0;11363.0;773.0;6.3;606.0;1160.0;1211.0;;;;;;516.0;19254022.0;13376;271
W;33x141;846;293;24.4;756.0;15.4;;6.0;49.2;268.4;209.8;310092.0;7341.0;34.0;4211.0;8423.0;10239.0;700.0;6.2;548.0;1050.0;1096.0;;;;;;404.0;17293710.0;12411;374
W;33x130;840;292;21.7;756.0;14.7;;6.7;51.3;247.1;193.5;279291.0;6653.0;33.5;3826.0;7653.0;9074.0;621.0;6.1;488.0;932.0;975.0;;;;;;307.0;15199130.0;11445;528
W;33x118;835;292;18.8;756.0;14.0;;7.8;54.1;223.9;175.6;245577.0;5883.0;33.0;3400.0;6801.0;7784.0;534.0;5.9;420.0;801.0;841.0;;;;;;221.0;12970282.0;10411;793
W;30x477;869;403;74.9;679.0;41.4;;2.7;16.4;903.2;709.9;1086364.0;25072.0;34.8;14666.0;29333.0;81998.0;4080.0;9.5;3195.0;6121.0;6391.0;;;;;;12778.0;128897216.0;37370;4.06
W;30x391;843;396;62.0;679.0;34.5;;3.2;19.7;735.5;581.9;861599.0;20484.0;34.3;11717.0;23434.0;64516.0;3245.0;9.4;2540.0;4867.0;5080.0;;;;;;7242.0;97747055.0;31095;8.12
W;30x326;823;390;52.1;679.0;29.0;;3.8;23.5;617.4;485.1;699269.0;16879.0;33.5;9750.0;19501.0;51613.0;2655.0;9.2;2065.0;3982.0;4130.0;;;;;;4287.0;76801258.0;26614;15.5
W;30x292;813;387;47.0;679.0;25.9;;4.1;26.2;552.9;434.5;620185.0;15207.0;33.5;8685.0;17370.0;45785.0;2360.0;9.1;1827.0;3540.0;3654.0;;;;;;3118.0;66865431.0;23856;23.3
W;30x261;803;385;41.9;679.0;23.6;;4.6;28.8;494.8;388.4;545263.0;13552.0;33.3;7710.0;15420.0;39917.0;2081.0;9.0;1606.0;3122.0;3212.0;;;;;;2239.0;57735211.0;21443;35.6
W;30x235;795;382;38.1;679.0;21.1;;5.0;32.2;445.2;349.7;486991.0;12225.0;33.0;6924.0;13847.0;35588.0;1868.0;8.9;1434.0;2802.0;2868.0;;;;;;1665.0;51021815.0;19443;51.7
W;30x211;786;384;33.4;679.0;19.7;;5.7;34.5;400.0;314.0;428718.0;10865.0;32.8;6137.0;12274.0;31509.0;1639.0;8.9;1262.0;2458.0;2524.0;;;;;;1161.0;44576954.0;17306;83.1
W;30x191;779;382;30.1;679.0;18.0;;6.4;37.7;361.9;284.2;381684.0;9799.0;32.5;5514.0;11028.0;28012.0;1467.0;8.8;1131.0;2200.0;2261.0;;;;;;857.0;39206237.0;15720;123
W;30x173;773;381;27.1;679.0;16.6;;7.0;40.8;327.7;257.5;341310.0;8833.0;32.3;4957.0;9914.0;24891.0;1308.0;8.7;1008.0;1962.0;2016.0;;;;;;637.0;34641127.0;14272;180
W;30x148;779;266;30.0;679.0;16.5;;4.4;41.2;280.6;220.2;278043.0;7145.0;31.5;4097.0;8194.0;9448.0;710.0;5.8;557.0;1064.0;1114.0;;;;;;608.0;13265672.0;15927;130
W;30x132;770;268;25.4;679.0;15.6;;5.3;43.5;251.0;196.4;240166.0;6227.0;31.0;3581.0;7161.0;8158.0;610.0;5.7;479.0;914.0;957.0;;;;;;405.0;11305360.0;14134;221
W;30x124;766;267;23.6;679.0;14.9;;5.7;45.7;235.5;184.5;223100.0;5817.0;30.7;3343.0;6686.0;7534.0;564.0;5.7;442.0;846.0;885.0;;;;;;333.0;10365484.0;13307;284
W;30x116;762;267;21.6;679.0;14.4;;6.2;47.3;220.6;172.6;205202.0;5391.0;30.5;3097.0;6194.0;6826.0;513.0;5.6;403.0;769.0;806.0;;;;;;268.0;9371902.0;12411;372
W;30x108;758;266;19.3;679.0;13.8;;6.9;49.1;204.5;160.7;186055.0;4900.0;30.2;2835.0;5670.0;6077.0;457.0;5.5;360.0;686.0;719.0;;;;;;208.0;8297758.0;11583;509
W;30x99;753;265;17.0;679.0;13.2;;7.8;51.4;187.7;147.3;166076.0;4408.0;29.7;2556.0;5113.0;5328.0;401.0;5.3;316.0;602.0;633.0;;;;;;157.0;7196761.0;10756;717
W;30x90;750;264;15.5;679.0;11.9;;8.5;56.9;170.3;133.9;150676.0;4015.0;29.7;2319.0;4638.0;4787.0;362.0;5.3;284.0;543.0;569.0;;;;;;122.0;6444861.0;9860;989
W;27X539;826;387;89.9;610.0;50.0;;2.2;12.2;1019.0;802.1;1061390.0;25728.0;32.3;15404.0;30808.0;87825.0;4539.0;9.3;3581.0;6809.0;7161.0;;;;;;20770.0;118155781.0;49366;1.39
W;27x448;798;379;75.9;610.0;41.9;;2.5;14.5;845.2;666.7;849112.0;21303.0;31.8;12536.0;25072.0;69511.0;3671.0;9.1;2876.0;5506.0;5752.0;;;;;;12362.0;90228051.0;41851;2.59
W;27x368;772;372;63.0;610.0;35.1;;3.0;17.4;696.8;547.6;670133.0;17370.0;31.0;10160.0;20320.0;54526.0;2933.0;8.8;2286.0;4400.0;4572.0;;;;;;7034.0;68208110.0;35163;5.11
W;27x307;752;367;53.1;610.0;29.5;;3.5;20.7;581.9;456.9;545263.0;14486.0;30.5;8357.0;16715.0;43704.0;2393.0;8.7;1860.0;3589.0;3720.0;;;;;;4204.0;53438637.0;29785;9.74
W;27x258;736;362;45.0;610.0;24.9;;4.0;24.5;488.4;383.9;449530.0;12159.0;30.2;6965.0;13929.0;35754.0;1966.0;8.6;1532.0;2950.0;3064.0;;;;;;2539.0;42697203.0;25304;18.4
